scenario_label,allocation_label,yard_id,utility,facility,raw_visual_weight,utility_weight_sum,utility_integer_crew_total,fractional_crews,integer_crews,evidence_boundary,notes
C57_substation_ratio_main,C57_yard_allocation_no_deletion_tie_coherent_zero_low,D01,LADWP,Substations Regional Center / Palmetto,2.000,65.000,47,1.446154,1,A-caveated / manual_review,Substation-center function evidence; visible heavy laydown weak.
C57_substation_ratio_main,C57_yard_allocation_no_deletion_tie_coherent_zero_low,D02,LADWP,Central District Headquarters / Wall St.,15.000,65.000,47,10.846154,11,B-caveated / manual_review,Power components / warehouse / crafts / service-yard support; not observed crew base.
C57_substation_ratio_main,C57_yard_allocation_no_deletion_tie_coherent_zero_low,D03,LADWP,Boylston,1.000,65.000,47,0.723077,1,B-low / manual_review,Dispatch/garage/office/Station 11 context; not modern Category A by itself.
C57_substation_ratio_main,C57_yard_allocation_no_deletion_tie_coherent_zero_low,D04,LADWP,Valley Center / Saticoy,30.000,65.000,47,21.692308,22,A-caveated / manual_review,Large campus plus repair services / warehouse / transformer-test-lab evidence; do not merge Truesdale.
C57_substation_ratio_main,C57_yard_allocation_no_deletion_tie_coherent_zero_low,D05,LADWP,Central Service Center,2.000,65.000,47,1.446154,1,B-low / C-high,Admin/warehouse/service-center support; low-to-mid visual proxy.
C57_substation_ratio_main,C57_yard_allocation_no_deletion_tie_coherent_zero_low,D06,LADWP,Main Street,15.000,65.000,47,10.846154,11,A-caveated,Repair / fabrication / warehouse / power-system-components support strong.
C57_substation_ratio_main,C57_yard_allocation_no_deletion_tie_coherent_zero_low,D07,SCE,Dominguez Hills Service Center,5.000,23.000,10,2.173913,3,B-caveated,Strong visual yard / garage / logistics proxy; not crew count.
C57_substation_ratio_main,C57_yard_allocation_no_deletion_tie_coherent_zero_low,D08,SCE,Pomona / CRE Pomona Garage,1.000,23.000,10,0.434783,0,B-caveated; visual weak,Retained in no-deletion list; 0 integer crews under tie-coherent rounding.
C57_substation_ratio_main,C57_yard_allocation_no_deletion_tie_coherent_zero_low,D09,SCE,Alhambra,6.000,23.000,10,2.608696,3,B-caveated context,Strong visual operations-campus proxy; not observed substation crew base.
C57_substation_ratio_main,C57_yard_allocation_no_deletion_tie_coherent_zero_low,D10,SCE,Santa Monica,2.000,23.000,10,0.869565,1,C / B-low,Urban service-center visual proxy.
C57_substation_ratio_main,C57_yard_allocation_no_deletion_tie_coherent_zero_low,D11,SCE,Montebello / 1000 Potrero Grande Dr,1.000,23.000,10,0.434783,0,C,Retained in no-deletion list; 0 integer crews under tie-coherent rounding.
C57_substation_ratio_main,C57_yard_allocation_no_deletion_tie_coherent_zero_low,D12,SCE,Whittier / Santa Fe Springs,3.000,23.000,10,1.304348,2,C-high / B-low,Medium visual service-yard proxy.
C57_substation_ratio_main,C57_yard_allocation_no_deletion_tie_coherent_zero_low,D13,SCE,South Bay,2.000,23.000,10,0.869565,1,C-high / B-low,Mid-low visual yard/service-center proxy.
C57_substation_ratio_main,C57_yard_allocation_no_deletion_tie_coherent_zero_low,D14,SCE,Covina / San Dimas,1.000,23.000,10,0.434783,0,A-caveated if transmission/job evidence retained,Visual weak does not negate source evidence; 0 integer crews in this allocation.
C57_substation_ratio_main,C57_yard_allocation_no_deletion_tie_coherent_zero_low,D15,SCE,Monrovia,1.000,23.000,10,0.434783,0,C / manual_review,Retained in no-deletion list; 0 integer crews under tie-coherent rounding.
C57_substation_ratio_main,C57_yard_allocation_no_deletion_tie_coherent_zero_low,D16,SCE,Long Beach,1.000,23.000,10,0.434783,0,C / B-low,Retained in no-deletion list; 0 integer crews under tie-coherent rounding.
